Gemini,Lambda Gemini,Alzirr
Gemini,Mekbuda,Alhena
Gemini,Tau Gemini,Iota Gemini
Gemini,Tau Gemini,Castor A
Gemini,Tau Gemini,Theta Gemini
Gemini,Tau Gemini,Mebsuta
Gemini,Mebsuta,Nu Gemini
Gemini,Mebsuta,Tejat
Gemini,Tejat,Eta Gemini B
Gemini,Eta Gemini B,1 Gemini
Cancer,Asellus Borealis,Iota Cancer
Cancer,Asellus Borealis,Chi Cancer
Cancer,Asellus Borealis,Asellus Australis
Cancer,Asellus Australis,Acubens
Cancer,Asellus Australis,Tarf
Virgo,Nu Vir,Zaniah
Virgo,Zaniah,Porrima
Virgo,Porrima,Minelauva
Virgo,Porrima,Spica
Virgo,Minelauva,Vindemiatrix
Virgo,Minelauva,Heze
Virgo,Spica,Heze
Virgo,Spica,Kang
Virgo,Heze,Tau Vir
Virgo,Kang,Syrma
Virgo,Tau Vir,109 Vir
Virgo,Syrma,Mu Vir
Scorpius,Antares,BEta01 Scorpius
Scorpius,Antares,Dschubba
Scorpius,Antares,Fang
Scorpius,Antares,Paikauhale
Scorpius,Paikauhale,Larawag
Scorpius,Larawag,Xamidimura
Scorpius,Xamidimura,ZEta01 Scorpius
Scorpius,ZEta01 Scorpius,Eta Scorpius
Scorpius,Eta Scorpius,Sargas
Scorpius,Sargas,Iota Scorpius A
Scorpius,Iota Scorpius A,Kappa Scorpius
Scorpius,Kappa Scorpius,Shaula
Capricornus,Dabih Major,Algedi
Capricornus,Dabih Major,Psi Capricornus
Capricornus,Dabih Major,Theta Capricornus
Capricornus,Theta Capricornus,Omega Capricornus
Capricornus,Theta Capricornus,Iota Capricornus
Capricornus,Theta Capricornus,ZEta Capricornus
Capricornus,Iota Capricornus,Nashira
Capricornus,ZEta Capricornus,Iota Capricornus
Capricornus,Nashira,Deneb Algedi
Ophiuchus,Sabik,c Oph
Ophiuchus,Sabik,ZEta Oph
Ophiuchus,Sabik,Cebalrai
Ophiuchus,ZEta Oph,Yed Posterior
Ophiuchus,Cebalrai,Rasalhague
Ophiuchus,Yed Posterior,Kappa Oph
Ophiuchus,Rasalhague,Kappa Oph
bangsu,Iklil,Fang
bangsu,Fang,Dschubba
bangsu,Dschubba,BEta01 Scorpius
bangsu,BEta01 Scorpius,Omega Scorpius
bangsu,Omega Scorpius,Omega02 Scorpius
dusu,Ascella,Tau Sagittarius
dusu,Tau Sagittarius,Nunki
dusu,Nunki,Phi Sagittarius
dusu,Phi Sagittarius,Kaus Borealis
dusu,Kaus Borealis,Polis
wisu,Sadalmelik,Biham
wisu,Biham,Enif
silsu,Alkarab,Salm
silsu,Salm,Scheat
silsu,Scheat,Markab
silsu,Scheat,Sadalbari
silsu,Scheat,Matar
silsu,Sadalbari,Lambda Pegasus
silsu,Matar,Omicron Pegasus
nusu,Hamal,Sheratan
nusu,Sheratan,Gamma02 Aries
myosu,Taygeta,Maia
myosu,Taygeta,Celaeno
myosu,Maia,Electra
myosu,Maia,Alcyone
myosu,Celaeno,Electra
myosu,Alcyone,Atlas
myosu,Alcyone,Merope
myosu,Merope,Electra
jasu,Furud,Delta Columba
samsu,Betelgeuse,ZEta Orion A
samsu,ZEta Orion A,Saiph
samsu,ZEta Orion A,Alnilam
samsu,Alnilam,c Orion
samsu,c Orion,Hatysa
samsu,Alnilam,Mintaka
samsu,Mintaka,Bellatrix
samsu,Mintaka,Rigel
gwisu,Eta Cancer,Asellus Borealis
gwisu,Asellus Borealis,Asellus Australis
gwisu,Asellus Australis,Theta Cancer
gwisu,Theta Cancer,Eta Cancer
yusu,Rho Hydra,Eta Hydra
yusu,Eta Hydra,Minchir
yusu,Minchir,Delta Hydra
yusu,Delta Hydra,Ashlesha
yusu,Ashlesha,ZEta Hydra
yusu,ZEta Hydra,Omega Hydra
yusu,Omega Hydra,Theta Hydra
seongsu,Ukdah,Tau02 Hydra
seongsu,Tau02 Hydra,Tau01 Hydra
seongsu,Tau01 Hydra,HD 81809A
seongsu,HD 81809A,Alphard
seongsu,Alphard,27 Hydra
seongsu,27 Hydra,26 Hydra
iksu,BEta Hydra,Omicron Hydra
iksu,Omicron Hydra,SAO 202428
iksu,SAO 202428,SAO 202391
iksu,SAO 202391,Iota Antlia
iksu,Iota Antlia,Alpha Antlia
iksu,Alpha Antlia,Chi01 Hydra
iksu,Chi01 Hydra,10 Crater
iksu,10 Crater,17 Crater A
iksu,Chi01 Hydra,BEta Crater
iksu,BEta Crater,Gamma Crater
iksu,BEta Crater,Alkes
iksu,Gamma Crater,ZEta Crater
iksu,Gamma Crater,Delta Crater
iksu,Alkes,Nu Hydra
iksu,Alkes,Delta Crater
iksu,Delta Crater,SAO 156421
iksu,SAO 156421,EPsilon Crater
iksu,EPsilon Crater,Iota Crater
iksu,EPsilon Crater,Theta Crater
iksu,Theta Crater,SAO 157041
jinsu,Eta Corvus,Algorab
jinsu,Algorab,Gienah
jinsu,Algorab,Kraz
jinsu,Gienah,Minkar
jinsu,Kraz,Minkar
jinsu,Minkar,ZEta Corvus
jinsu,Minkar,Alchiba
Taurus,Alnath,Tau Tau
Taurus,Tau Tau,Ain
Taurus,Ain,Aldebaran
Taurus,Ain,Delta03 Tau
Taurus,Delta03 Tau,Secunda Hyadum
Taurus,Aldebaran,Tianguan
Taurus,Aldebaran,Chamukuy
Taurus,Secunda Hyadum,Atlas
Taurus,Secunda Hyadum,Prima Hyadum
Taurus,Chamukuy,Prima Hyadum
Taurus,Prima Hyadum,Lambda Tau
Taurus,Lambda Tau,Omicron Tau
Leo,EPsilon Leo,Rasalas
Leo,Rasalas,Adhafera
Leo,Adhafera,Gamma01 Leo
Leo,Gamma01 Leo,Eta Leo
Leo,Gamma01 Leo,Zosma
Leo,Eta Leo,Regulus
Leo,Regulus,Chertan
Leo,Chertan,Zosma
Leo,Chertan,Denebola
Leo,Zosma,Denebola
Libra,Zubenelgenubi,Zubeneschamali
Libra,Zubenelgenubi,Brachium
Libra,Zubeneschamali,Brachium
Libra,Zubeneschamali,Zubenelhakrabi
Libra,Brachium,UPsilon Lib
Libra,Zubenelhakrabi,Eta Lib
Libra,Eta Lib,Theta Lib
Libra,Theta Lib,48 Lib
Libra,UPsilon Lib,Tau Lib
Sagittarius,3 Sagittarius,Alnasl
Sagittarius,Alnasl,Kaus Australis
Sagittarius,Alnasl,Kaus Media
Sagittarius,Kaus Australis,Eta Sagittarius
Sagittarius,Kaus Australis,Kaus Media
