* eps UMa,12 54 01.7495,+55 57 35.362,111.91,-8.24,1.77,39.51,A,Alioth,EPsilon Ursa Major,HD 112185,SAO  28553,HIP 62956,HR  4905,,Gaia DR3 1576683529448755328
* eps Cyg,20 46 12.6722,+33 58 13.182,365.954,308.787,2.48,43.1769,K,Aljanah,EPsilon Cygnus,HD 197989,SAO  70474,HIP 102488,HR  7949,Gaia DR2 1869302503184405760,Gaia DR3 1869302503206674304
* eta UMa,13 47 32.4377,+49 18 47.760,-121.17,-14.91,1.86,31.38,B,Alkaid,Eta Ursa Major,HD 120315,SAO  44752,HIP 67301,HR  5191,,Gaia DR3 1510374147844219904
* kap UMa,09 03 37.5276,+47 09 23.489,-36.19,-55.4,3.55,9.1,A,Alkaphrah,Kappa Ursa Major,HD  77327,SAO  42661,HIP 44471,HR  3594,,
* ups Peg,23 25 22.7828,+23 24 14.762,191.856,36.183,4.4,18.7061,F,Alkarab,UPsilon Pegasus,HD 220657,SAO  91253,HIP 115623,HR  8905,Gaia DR2 2839853133694170880,Gaia DR3 2839853133694170880
* alf Crt,10 59 46.4651,-18 17 55.630,-462.303,128.614,4.07,20.3693,K,Alkes,Alpha Crater,HD  95272,SAO 156375,HIP 53740,HR  4287,Gaia DR2 3553136288323783680,Gaia DR3 3553136288324444544
* eps Aur,05 01 58.1343,+43 49 23.917,0.883,-3.065,2.99,0.9879,A,Almaaz,EPsilon Auriga,HD  31964,SAO  39955,HIP 23416,HR  1605,Gaia DR2 205499655242974464,Gaia DR3 205499655242974464
* gam01 And,02 03 53.9522,+42 19 47.022,42.32,-49.3,2.1,8.3,K,Almach,Gamma Andromeda,HD  12533,SAO  37734,HIP 9640,HR   603,,
* alf Gru,22 08 13.9847,-46 57 39.507,126.69,-147.47,1.71,32.29,B,Alnair,Alpha Grus,HD 209952,SAO 230992,HIP 109268,HR  8425,Gaia DR2 6560604777053880704,Gaia DR3 6560604777055249536
* gam02 Sgr,18 05 48.4880,-30 25 26.723,-48.839,-204.86,2.99,32.2697,K,Alnasl,Gamma Sagittarius,HD 165135,SAO 209696,HIP 88635,HR  6746,Gaia DR2 4049975081502371328,Gaia DR3 4049975081571729920
* eps Ori,05 36 12.8133,-01 12 06.908,1.44,-0.78,1.69,1.65,B,Alnilam,EPsilon Orion,HD  37128,SAO 132346,HIP 26311,HR  1903,,
